account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-constructor,US,kadam,2.3946,1.4000,292821176,0.9946,71.04,773.8450,291245.4267,USD,USD,USD
propush-constructor,US,inhouseads,2.3946,1.4700,263539058,0.9246,62.90,773.8450,243673.1496,USD,USD,USD
propush-cpc,AU,kadam,10.2863,1.6000,17367012,8.6863,542.90,1097.1497,150855.5042,USD,USD,USD
propush-cpc,AU,inhouseads,10.2863,1.6800,15630310,8.6063,512.28,1097.1497,134519.5220,USD,USD,USD
propush-constructor,AU,kadam,3.8876,1.6000,17367012,2.2876,142.97,282.8495,39728.6422,USD,USD,USD
propush-constructor,AU,inhouseads,3.8876,1.6800,15630310,2.2076,131.40,282.8495,34505.3514,USD,USD,USD
propush-constructor,CA,kadam,2.7132,1.8000,33677180,0.9132,50.74,350.0378,30755.3587,USD,USD,USD
propush-constructor,GB,kadam,2.2984,1.5000,32605792,0.7984,53.23,71.2639,26032.1592,USD,USD,USD
propush-constructor,CA,inhouseads,2.7132,1.8900,30309462,0.8232,43.56,350.0378,24951.9712,USD,USD,USD
propush-constructor,US,clickadu,2.3946,1.5146,28068706,0.8800,58.10,773.8450,24700.6502,USD,USD,USD
propush-nsd,AU,kadam,3.0197,1.6000,17367012,1.4197,88.73,2165.1940,24656.5975,USD,USD,USD
propush-constructor,US,galaksion,2.3946,1.2800,21557396,1.1146,87.08,773.8450,24028.2774,USD,USD,USD
propush-cpc,ID,galaksion,0.6690,0.3800,75236121,0.2890,76.04,443.8644,21740.9259,USD,USD,USD
propush-constructor,GB,inhouseads,2.2984,1.5750,29345212,0.7234,45.93,71.2639,21228.0517,USD,USD,USD
propush-nsd,AU,inhouseads,3.0197,1.6800,15630310,1.3397,79.75,2165.1940,20940.5118,USD,USD,USD
propush-constructor,ID,galaksion,0.6313,0.3800,75236121,0.2513,66.13,1552.5416,18906.3946,USD,USD,USD
propush-cpc,IT,kadam,1.1069,0.6000,30701635,0.5069,84.49,304.4251,15564.0071,USD,USD,USD
propush-constructor,US,mybid,2.3946,0.4200,7515544,1.9746,470.15,773.8450,14840.3340,USD,USD,USD
propush-cpc,AU,galaksion,10.2863,1.0500,1541742,9.2363,879.65,1097.1497,14240.0296,USD,USD,USD
propush-cpc,AU,mybid,10.2863,0.3800,1373086,9.9063,2606.93,1097.1497,13602.2357,USD,USD,USD
propush-cpc,IT,inhouseads,1.1069,0.6300,27631471,0.4769,75.71,304.4251,13178.6620,USD,USD,USD
clickadilla-sv,PH,kadam,0.9390,0.8000,90859209,0.1390,17.38,23.0046,12629.6986,USD,USD,USD
propush-cpc,AU,clickadu,10.2863,1.4212,1409222,8.8651,623.77,1097.1497,12492.9033,USD,USD,USD
sv2,HK,kadam,2.5500,1.3000,9790651,1.2500,96.15,36.3900,12238.3137,USD,USD,USD
propush-cpc,TH,kadam,1.4939,1.2000,35638073,0.2939,24.50,330.1188,10475.6767,USD,USD,USD
sv2,HK,inhouseads,2.5500,1.3650,8811585,1.1850,86.81,36.3900,10441.7282,USD,USD,USD
