account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
sv,FR,kadam,0.9600,0.7000,72621898,0.2600,37.14,45.8400,18881.6935,USD,USD,USD
sv,FR,inhouseads,0.9600,0.7350,65359708,0.2250,30.61,45.8400,14705.9343,USD,USD,USD
propush-nsd,ID,galaksion,0.5180,0.3800,75236121,0.1380,36.31,6465.2301,10381.8357,USD,USD,USD
propush-nsd,AU,kadam,2.1732,1.5000,13024494,0.6732,44.88,1626.4976,8768.2936,USD,USD,USD
propush-nsd,AU,inhouseads,2.1732,1.5750,11722044,0.5982,37.98,1626.4976,7012.3105,USD,USD,USD
propush-nsd,NO,kadam,3.7892,0.9000,2419122,2.8892,321.02,451.5981,6989.3524,USD,USD,USD
clickadu-pub-nsd,KR,kadam,1.2444,0.8000,15518655,0.4444,55.55,38.2186,6896.1582,USD,USD,USD
propush-nsd,NO,inhouseads,3.7892,0.9450,2177209,2.8442,300.97,451.5981,6192.4405,USD,USD,USD
sv,CN,mybid,2.2800,0.0800,2795670,2.2000,2750.00,72.0000,6150.4740,USD,USD,USD
clickadu-pub-nsd,KR,inhouseads,1.2444,0.8400,13966789,0.4044,48.14,38.2186,5647.8706,USD,USD,USD
propush-nsd,US,mybid,1.0944,0.3400,7227888,0.7544,221.88,2423.6503,5452.5783,USD,USD,USD
propush-nsd,ZW,kadam,3.8144,0.9000,1776451,2.9144,323.83,1072.3443,5177.3497,USD,USD,USD
sv,CN,clickadu,2.2800,1.3457,5323865,0.9343,69.43,72.0000,4973.9646,USD,USD,USD
propush-nsd,NP,galaksion,1.2112,0.5900,7429208,0.6212,105.29,5069.7833,4614.9045,USD,USD,USD
propush-nsd,ZW,inhouseads,3.8144,0.9450,1598805,2.8694,303.64,1072.3443,4587.6659,USD,USD,USD
sv,ID,galaksion,0.4400,0.3800,75236121,0.0600,15.79,35.1500,4514.1673,USD,USD,USD
clickadu-pub-nsd,UA,mybid,1.1057,0.1700,4183676,0.9357,550.42,172.1103,3914.7049,USD,USD,USD
propush-nsd,RU,mybid,0.5073,0.1000,8950580,0.4073,407.28,16.4071,3645.4311,USD,USD,USD
clickadilla-sv,UA,mybid,1.0404,0.1700,4183676,0.8704,512.02,59.3991,3641.5925,USD,USD,USD
propush-nsd,DE,clickadu,1.0269,0.6579,9729565,0.3690,56.08,2764.2192,3590.0362,USD,USD,USD
propush-nsd,FR,kadam,0.7489,0.7000,72621898,0.0489,6.99,2732.7044,3552.9202,USD,USD,USD
clickadu-pub-nsd,BH,kadam,2.3385,0.8000,2245545,1.5385,192.32,14.5761,3454.8537,USD,USD,USD
propush-nsd,GH,kadam,1.2723,0.7000,5770714,0.5723,81.76,492.0129,3302.6629,USD,USD,USD
evadav-sv,CO,kadam,0.5134,0.4000,27631386,0.1134,28.35,18.0130,3132.8748,USD,USD,USD
clickadu-pub-nsd,BH,inhouseads,2.3385,0.8400,2020990,1.4985,178.40,14.5761,3028.5279,USD,USD,USD
sv2,CN,mybid,1.1500,0.0800,2795670,1.0700,1337.50,189.1300,2991.3669,USD,USD,USD
propush-nsd,DO,kadam,1.0599,0.4000,4457024,0.6599,164.98,220.8243,2941.3368,USD,USD,USD
propush-nsd,UA,mybid,0.8414,0.1700,4183676,0.6714,394.97,181.6262,2809.1133,USD,USD,USD
propush-nsd,GH,inhouseads,1.2723,0.7350,5193642,0.5373,73.10,492.0129,2790.6188,USD,USD,USD
propush-nsd,BO,mybid,2.3572,0.4700,1396524,1.8872,401.53,1102.3667,2635.5086,USD,USD,USD
sv,BD,mybid,0.5900,0.1100,5367885,0.4800,436.36,201.0800,2576.5848,USD,USD,USD
propush-nsd,DO,inhouseads,1.0599,0.4200,4011321,0.6399,152.36,220.8243,2566.9763,USD,USD,USD
propush-nsd,AR,mybid,0.7078,0.3300,6637622,0.3778,114.47,479.7168,2507.4481,USD,USD,USD
propush-nsd,CN,mybid,0.9673,0.0800,2795670,0.8873,1109.07,193.1004,2480.4663,USD,USD,USD
clickadu-pub-nsd,CN,mybid,0.9598,0.0800,2795670,0.8798,1099.80,1.4628,2459.7493,USD,USD,USD
propush-nsd,AO,kadam,1.5107,0.8000,3430320,0.7107,88.84,469.1283,2438.0291,USD,USD,USD
nsd,CN,mybid,0.9400,0.0800,2795670,0.8600,1075.00,253.7900,2404.2762,USD,USD,USD
clickadu-pub-nsd,KR,clickadu,1.2444,0.7753,5047666,0.4691,60.51,38.2186,2367.8682,USD,USD,USD
evadav-sv,CO,inhouseads,0.5134,0.4200,24868247,0.0934,22.23,18.0130,2322.2224,USD,USD,USD
sv,NP,galaksion,0.9000,0.5900,7429208,0.3100,52.54,107.3400,2303.0545,USD,USD,USD
propush-nsd,PE,kadam,0.9407,0.8000,15982197,0.1407,17.59,1174.9168,2248.4467,USD,USD,USD
nsd,RU,mybid,0.3500,0.1000,8950580,0.2500,250.00,299.4300,2237.6450,USD,USD,USD
clickadilla-sv,JP,galaksion,0.5209,0.2800,9269740,0.2409,86.05,112.2082,2233.4642,USD,USD,USD
