account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
sv,US,0.5100,0.2100,10867061,0.3000,142.86,105.3400,3260.1183,USD,USD,USD
sv2,US,0.4700,0.2100,10867061,0.2600,123.81,1077.8200,2825.4359,USD,USD,USD
nsd,MY,1.0400,0.1500,3079009,0.8900,593.33,18.9500,2740.3180,USD,USD,USD
sv2,BR,0.6000,0.0900,5364373,0.5100,566.67,285.1100,2735.8302,USD,USD,USD
nsd,RU,0.6400,0.2200,6400669,0.4200,190.91,0.9400,2688.2810,USD,USD,USD
nsd,BR,0.5300,0.0900,5364373,0.4400,488.89,198.6800,2360.3241,USD,USD,USD
nsd,PH,0.6100,0.2900,7137943,0.3200,110.34,1040.4300,2284.1418,USD,USD,USD
nsd,US,0.4200,0.2100,10867061,0.2100,100.00,261.9900,2282.0828,USD,USD,USD
sv,BD,0.7000,0.2600,5055135,0.4400,169.23,89.7700,2224.2594,USD,USD,USD
sv,DE,0.6200,0.1800,4972504,0.4400,244.44,115.0900,2187.9018,USD,USD,USD
sv2,PH,0.5600,0.2900,7137943,0.2700,93.10,3083.6800,1927.2446,USD,USD,USD
sv2,CN,1.0200,0.1600,1997038,0.8600,537.50,120.1600,1717.4527,USD,USD,USD
nsd,CN,0.9100,0.1600,1997038,0.7500,468.75,28.4200,1497.7785,USD,USD,USD
sv,CN,0.8400,0.1600,1997038,0.6800,425.00,33.1200,1357.9858,USD,USD,USD
sv2,BD,0.4700,0.2600,5055135,0.2100,80.77,350.0200,1061.5784,USD,USD,USD
sv,CA,0.6600,0.2400,2464723,0.4200,175.00,21.5800,1035.1837,USD,USD,USD
sv,GB,0.4200,0.1300,3511871,0.2900,223.08,19.2900,1018.4426,USD,USD,USD
sv2,DE,0.3800,0.1800,4972504,0.2000,111.11,331.3400,994.5008,USD,USD,USD
sv,UA,0.8900,0.3600,1831309,0.5300,147.22,6.5200,970.5938,USD,USD,USD
sv2,RU,0.3700,0.2200,6400669,0.1500,68.18,14.4700,960.1003,USD,USD,USD
sv,AR,0.5100,0.1400,2543794,0.3700,264.29,18.1500,941.2038,USD,USD,USD
nsd,DE,0.3600,0.1800,4972504,0.1800,100.00,152.3400,895.0507,USD,USD,USD
nsd,FR,0.4900,0.2300,3342000,0.2600,113.04,63.9600,868.9200,USD,USD,USD
sv,BO,0.9300,0.2500,1228382,0.6800,272.00,1.5800,835.2998,USD,USD,USD
nsd,AR,0.4600,0.1400,2543794,0.3200,228.57,2.9300,814.0141,USD,USD,USD
nsd,NL,0.7300,0.3000,1877158,0.4300,143.33,39.0700,807.1779,USD,USD,USD
nsd,BD,0.4100,0.2600,5055135,0.1500,57.69,78.3600,758.2703,USD,USD,USD
sv2,PK,0.4000,0.0500,2127156,0.3500,700.00,250.8100,744.5046,USD,USD,USD
sv2,GB,0.3400,0.1300,3511871,0.2100,161.54,65.5900,737.4929,USD,USD,USD
nsd,GB,0.3300,0.1300,3511871,0.2000,153.85,20.5700,702.3742,USD,USD,USD
nsd,ID,0.4100,0.3300,8654778,0.0800,24.24,42.1500,692.3822,USD,USD,USD
sv,PK,0.3500,0.0500,2127156,0.3000,600.00,64.1100,638.1468,USD,USD,USD
nsd,MX,0.4300,0.2000,2765632,0.2300,115.00,79.3500,636.0954,USD,USD,USD
evadav-rss,MY,0.3535,0.1500,3079009,0.2035,135.67,11.6210,626.5783,USD,USD,USD
sv,VN,0.3400,0.1300,2864715,0.2100,161.54,34.7200,601.5902,USD,USD,USD
nsd,CA,0.4800,0.2400,2464723,0.2400,100.00,45.9200,591.5335,USD,USD,USD
sv2,AR,0.3600,0.1400,2543794,0.2200,157.14,44.0100,559.6347,USD,USD,USD
sv,NP,0.6800,0.1000,915851,0.5800,580.00,55.7600,531.1936,USD,USD,USD
sv2,ES,0.3700,0.1200,1987779,0.2500,208.33,136.7300,496.9447,USD,USD,USD
nsd,BO,0.6400,0.2500,1228382,0.3900,156.00,1.6600,479.0690,USD,USD,USD
evadav-rss,CN,0.3993,0.1600,1997038,0.2393,149.56,2.2430,477.8912,USD,USD,USD
nsd,PK,0.2700,0.0500,2127156,0.2200,440.00,70.0000,467.9743,USD,USD,USD
evadav-rss,US,0.2528,0.2100,10867061,0.0428,20.38,10.7290,465.1102,USD,USD,USD
sv2,SG,0.6500,0.1100,853082,0.5400,490.91,19.8000,460.6643,USD,USD,USD
evadav-rss,BR,0.1725,0.0900,5364373,0.0825,91.67,1.5740,442.5608,USD,USD,USD
sv,MA,0.3900,0.1900,2146617,0.2000,105.26,120.3900,429.3234,USD,USD,USD
sv,TH,0.5800,0.3100,1556396,0.2700,87.10,12.0700,420.2269,USD,USD,USD
sv2,ZA,0.4500,0.1000,1191445,0.3500,350.00,72.2100,417.0057,USD,USD,USD
sv,EG,0.3700,0.2700,4039439,0.1000,37.04,379.9600,403.9439,USD,USD,USD
sv,NL,0.5100,0.3000,1877158,0.2100,70.00,9.9000,394.2032,USD,USD,USD
sv2,MX,0.3400,0.2000,2765632,0.1400,70.00,172.7500,387.1885,USD,USD,USD
